source,doi,figure,panel,subject,signal_type,time_min,value,unit,protocol_phase,exercise_load_W,valid_for_model,interpolated_short_gap,x_uncertainty,x_uncertainty_unit,y_uncertainty,y_uncertainty_unit,evidence_level,source_url,notes,trace_id,included_in_model_window,model_time_min
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,7.5,29.079,mM,55 W warm-up / sensor stabilization,55,NO_STABILIZATION,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,False,
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,17.0,11.278,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,1.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,17.5,10.983,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,2.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,18.0,10.909,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,2.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,18.5,10.909,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,3.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,19.0,10.983,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,3.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,19.5,10.835,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,4.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,20.0,10.319,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,4.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,20.5,9.73,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,5.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,21.0,9.619,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,5.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,21.5,9.656,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,6.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,22.0,9.914,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,6.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,22.5,10.246,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,7.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,23.0,10.577,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,7.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,23.5,10.799,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,8.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,24.0,10.909,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,8.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,24.5,11.057,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,9.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,25.0,11.425,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,9.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,25.5,11.941,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,10.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,26.0,12.383,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,10.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,26.5,12.826,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,11.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,27.0,13.047,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,11.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,27.5,13.12,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,12.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,28.0,12.973,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,12.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,28.5,12.752,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,13.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,29.0,12.383,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,13.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,29.5,12.236,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,14.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,30.0,12.31,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,14.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,30.5,12.531,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,15.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,31.0,12.604,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,15.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,31.5,12.531,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,16.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,32.0,12.273,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,16.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,32.5,11.941,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,17.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,33.0,11.72,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,17.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,33.5,11.72,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,18.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,34.0,11.941,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,18.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,34.5,12.31,mM,100 W plateau,100,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,19.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,35.0,12.752,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,19.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,35.5,12.826,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,20.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,36.0,13.12,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,20.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,36.5,13.268,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,21.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,37.0,13.489,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,21.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,37.5,14.152,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,22.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,38.0,15.037,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,22.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,38.5,16.216,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,23.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,39.0,17.101,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,23.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,39.5,18.206,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,24.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,40.0,18.943,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,24.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,40.5,19.349,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,25.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,41.0,20.049,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,25.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,41.5,20.713,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,26.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,42.0,21.302,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,26.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,42.5,22.113,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,27.0
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,43.0,22.776,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,27.5
Choi 2020,10.1038/s41598-020-64406-5,Figure 1B,B,Representative subject (identity not reported),sweat_chloride,43.5,23.219,mM,200 W plateau,200,YES,NO,0.344,min,0.5,mM,PUBLIC_FIGURE_DIGITIZED,https://doi.org/10.1038/s41598-020-64406-5,Published trace was already processed with the reported 1-min median filter; no additional smoothing applied.,Choi_2020_B,True,28.0
